# num_nodes, solution_time, upper_bound, prize, solution_found, file_name
14, 0.003775, 11.3384, 6, 1, burma14.tsp
16, 0.004557, 12.0075, 9, 1, ulysses16.tsp
22, 0.008238, 17.0099, 12, 1, ulysses22.tsp
48, 0.062864, 31.7475, 19, 1, att48.tsp
51, 0.018937, 29.2042, 15, 1, eil51.tsp
52, 0.016019, 48.8172, 30, 1, berlin52.tsp
70, 0.032856, 41.6016, 22, 1, st70.tsp
76, 0.025469, 44.1448, 23, 1, eil76.tsp
76, 0.028263, 49.037, 25, 1, pr76.tsp
96, 0.073787, 67.8826, 43, 1, gr96.tsp
99, 0.055665, 53.7956, 28, 1, rat99.tsp
100, 0.103733, 59.1573, 36, 1, rd100.tsp
100, 0.092211, 56.2635, 31, 1, kroA100.tsp
100, 0.059211, 56.4433, 32, 1, kroB100.tsp
100, 0.093841, 55.5275, 27, 1, kroC100.tsp
100, 0.100217, 60.6499, 32, 1, kroD100.tsp
100, 0.086401, 63.3361, 35, 1, kroE100.tsp
101, 0.0622, 64.9749, 37, 1, eil101.tsp
105, 0.086695, 73.7717, 38, 1, lin105.tsp
107, 0.068557, 64.3747, 34, 1, pr107.tsp
124, 0.146895, 78.3947, 47, 1, pr124.tsp
127, 0.182397, 111.797, 66, 1, bier127.tsp
130, 0.19993, 79.081, 42, 1, ch130.tsp
136, 0.186134, 72.6755, 38, 1, pr136.tsp
137, 0.187024, 112.384, 61, 1, gr137.tsp
144, 0.233285, 81.8445, 40, 1, pr144.tsp
150, 0.20798, 81.2838, 43, 1, ch150.tsp
150, 0.25727, 89.3963, 47, 1, kroA150.tsp
150, 0.3521, 85.3655, 46, 1, kroB150.tsp
152, 0.271617, 101.012, 49, 1, pr152.tsp
159, 0.149805, 102.465, 59, 1, u159.tsp
195, 0.490521, 100.751, 51, 1, rat195.tsp
198, 0.581222, 189.017, 183, 1, d198.tsp
200, 0.68236, 118.468, 61, 1, kroA200.tsp
200, 0.730549, 116.28, 62, 1, kroB200.tsp
202, 0.494778, 198.825, 129, 1, gr202.tsp
225, 0.627647, 112.92, 59, 1, ts225.tsp
225, 0.954814, 140.278, 87, 1, tsp225.tsp
226, 0.804602, 165.355, 86, 1, pr226.tsp
229, 0.879347, 191.977, 123, 1, gr229.tsp
262, 1.62659, 157.1, 86, 1, gil262.tsp
264, 1.12162, 168.644, 88, 1, pr264.tsp
280, 1.48525, 148.519, 77, 1, a280.tsp
299, 2.08288, 170.21, 87, 1, pr299.tsp
318, 3.17135, 205.153, 104, 1, lin318.tsp
400, 4.64928, 234.967, 147, 1, rd400.tsp
417, 4.36316, 337.939, 243, 1, fl417.tsp
431, 6.84757, 428.361, 303, 1, gr431.tsp
439, 6.06042, 323.752, 163, 1, pr439.tsp
442, 6.98546, 408.15, 354, 1, pcb442.tsp
493, 7.24989, 493, 243, 1, d493.tsp
532, 18.7906, 389.828, 224, 1, att532.tsp
535, 16.7314, 477.137, 328, 1, ali535.tsp
574, 17.9931, 512.382, 500, 1, u574.tsp
575, 11.446, 353.918, 146, 1, rat575.tsp
654, 19.4943, 482.643, 323, 1, p654.tsp
657, 37.404, 645.509, 642, 1, d657.tsp
666, 33.1618, 666, 454, 1, gr666.tsp
724, 44.1875, 670.692, 660, 1, u724.tsp
783, 34.3013, 429.308, 58, 1, rat783.tsp
1000, 80.4848, 692.388, 364, 1, dsj1000.tsp
1002, 120.373, 612.734, 301, 1, pr1002.tsp
2319, 304.701, 0, 0, 0, u2319.tsp
